,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback
0,0,1,861,12.2,23.47,4.57,-1.97,10,23.47,Nishioka,Hit,Fore
1,1,2,1296,5.42,17.15,,,,,Nishioka,Bounce,
2,2,3,1730,9.26,16.21,,,,,Nishioka,Bounce,
3,3,3,1742,13.96,24.5,4.57,-0.04,11.12,24.5,Nishioka,Hit,Fore
4,4,4,2241,2.23,16.56,,,,,Nishioka,Bounce,
5,5,4,2252,-0.77,25.99,6.78,-0.78,0.91,25.99,Nishioka,Hit,Back
6,6,4,2286,2.1,3.2,,,,,Nishioka,Bounce,
7,7,4,2307,2.14,-2.55,3.65,-2.55,4.4,26.28,Nishioka,Hit,Fore
8,8,4,2333,6.97,21.71,,,,,Nishioka,Bounce,
9,9,4,2343,8.34,26.39,4.35,-3.81,7.05,26.39,Nishioka,Hit,Fore
10,10,4,2368,3.46,8.23,,,,,Nishioka,Bounce,
11,11,4,2389,1.43,0.06,2.78,0.06,6.56,25.93,Nishioka,Hit,Fore
12,12,4,2416,7.04,20.76,,,,,Nishioka,Bounce,
13,13,4,2426,8.89,25.72,3.36,-0.67,7.93,25.72,Nishioka,Hit,Fore
14,14,4,2452,8.36,3.77,,,,,Nishioka,Bounce,
15,15,4,2465,8.75,-1.97,7.43,-1.97,6.04,24.53,Nishioka,Hit,Back
16,16,4,2510,5.18,22.52,,,,,Nishioka,Bounce,
17,17,4,2524,4.43,26.16,6.37,-3.23,5.7,26.16,Nishioka,Hit,Back
18,18,4,2554,8.82,2.23,,,,,Nishioka,Bounce,
19,19,4,2566,10.76,-2.09,8.91,-2.09,4.73,25.18,Nishioka,Hit,Back
20,20,6,3524,9.12,16.61,,,,,Nishioka,Bounce,
21,21,6,3535,12.31,23.55,4.82,-1.4,10.18,23.55,Nishioka,Hit,Fore
22,22,6,3558,3.6,5.11,,,,,Nishioka,Bounce,
23,23,6,3570,0.73,-0.93,2.36,-0.93,9.5,22.96,Nishioka,Hit,Fore
24,24,8,4497,4.74,16.65,,,,,Nishioka,Bounce,
25,25,8,4509,3.76,23.97,6.88,-1.35,3.08,23.97,Nishioka,Hit,Fore
26,26,8,4539,7.08,3.02,,,,,Nishioka,Bounce,
27,27,8,4559,8.35,-1.35,7.06,-1.35,5.19,25.72,Nishioka,Hit,Back
28,28,8,4591,5.98,21.79,,,,,Nishioka,Bounce,
29,29,8,4603,5.83,26.01,6.11,-1.65,6.83,26.01,Nishioka,Hit,Back
30,30,8,4629,8,5.97,,,,,Nishioka,Bounce,
31,31,8,4649,9.59,-2.17,8.44,-2.17,5.12,25.67,Nishioka,Hit,Back
32,32,8,4676,2.64,21.24,,,,,Nishioka,Bounce,
33,33,8,4685,1.19,26.06,8.06,-2.22,2.37,26.06,Nishioka,Hit,Back
34,34,10,6422,6.74,16.79,,,,,Nakashima,Bounce,
35,35,10,6434,7.4,23.38,5.58,-0.81,8.05,23.38,Nakashima,Hit,Back
36,36,10,6457,5.61,2.7,,,,,Nakashima,Bounce,
37,37,10,6470,5.11,-1.65,4.15,-1.65,6.18,24.47,Nakashima,Hit,Back
38,38,10,6497,2.7,17.68,,,,,Nakashima,Bounce,
39,39,10,6513,1.15,24.38,6.01,-3.18,2.95,24.38,Nakashima,Hit,Back
40,40,11,6991,1.89,17.99,,,,,Nakashima,Bounce,
41,41,11,7001,-1.25,23.89,7.5,-0.21,0.28,23.89,Nakashima,Hit,Back
42,42,11,7026,5.66,1.79,,,,,Nakashima,Bounce,
43,43,11,7036,6.31,-1.43,7.19,-1.43,1.95,24.22,Nakashima,Hit,Fore
44,44,11,7060,5.76,21.89,,,,,Nakashima,Bounce,
45,45,11,7067,5.75,24.91,6.09,-3.32,4.67,24.91,Nakashima,Hit,Fore
46,46,11,7097,5.52,1.98,,,,,Nakashima,Bounce,
47,47,11,7111,5.39,-3.42,4.41,-3.42,5.62,25.81,Nakashima,Hit,Back
48,48,11,7137,2.97,19.3,,,,,Nakashima,Bounce,
49,49,11,7151,1.91,25.58,6.05,-3.46,3.5,25.58,Nakashima,Hit,Back
50,50,11,7178,8.09,3.05,,,,,Nakashima,Bounce,
51,51,11,7190,9.8,-4.39,8.72,-4.39,3.63,25.21,Nakashima,Hit,Back
52,52,11,7226,2.75,21.61,,,,,Nakashima,Bounce,
53,53,11,7232,2.04,25.22,6.83,-3.38,3.37,25.22,Nakashima,Hit,Back
54,54,11,7252,3.51,5.63,,,,,Nakashima,Bounce,
55,55,11,7273,4.01,-2.48,5.03,-2.48,5.25,24.17,Nakashima,Hit,Fore
56,56,11,7303,7.02,18.78,,,,,Nakashima,Bounce,
57,57,11,7318,8.39,24.31,5.13,-3.81,6.9,24.31,Nakashima,Hit,Fore
58,58,11,7336,3.91,5.87,,,,,Nakashima,Bounce,
59,59,11,7355,1.53,-2.88,2.4,-2.88,6.17,24.57,Nakashima,Hit,Fore
60,60,11,7398,3.53,21.86,,,,,Nakashima,Bounce,
61,61,11,7407,3.34,25.42,5.19,-2.28,4.2,25.42,Nakashima,Hit,Back
62,62,11,7435,7.11,1.75,,,,,Nakashima,Bounce,
63,63,11,7448,8.3,-3.94,6.99,-3.94,5.29,25.29,Nakashima,Hit,Back
64,64,11,7477,1.68,17.7,,,,,Nakashima,Bounce,
65,65,11,7496,-2.57,25.62,6.96,-3.68,-0.39,25.62,Nakashima,Hit,Back
66,66,11,7526,7.29,-3.15,7.22,-3.15,-1.07,26.17,Nakashima,Hit,Back
67,67,11,7539,8.91,-3.45,7.52,-3.45,0.43,26.72,Nakashima,Hit,Back
68,68,11,7564,8.91,22.09,,,,,Nakashima,Bounce,
69,69,11,7579,9.47,27.18,5.24,-3.23,6.93,27.18,Nakashima,Hit,Fore
70,70,11,7711,,,,,,,Nakashima,NoBounce,
71,71,11,7714,4.93,1.68,5.18,1.68,4.2,26.84,Nakashima,Hit,Fore
72,72,11,7726,3.8,18.45,,,,,Nakashima,Bounce,
73,73,11,7736,2.32,27.04,5.25,3.9,2.88,27.04,Nakashima,Hit,Back
74,74,11,7762,,,,,,,Nakashima,NoBounce,
75,75,11,7764,2.85,6.67,3.47,6.67,4.15,26.5,Nakashima,Hit,Fore
76,76,13,8805,6.69,15.17,,,,,Nakashima,Bounce,
77,77,13,8820,7.6,23.23,5.56,-1.29,8.4,23.23,Nakashima,Hit,Back
78,78,13,8842,6.38,5.08,,,,,Nakashima,Bounce,
79,79,13,8858,6.29,-2.29,5.21,-2.29,5.81,23.9,Nakashima,Hit,Back
80,80,13,8888,9.48,22.87,,,,,Nakashima,Bounce,
81,81,13,8894,10.39,25.79,4.98,-3.33,8.38,25.79,Nakashima,Hit,Fore
82,82,14,9427,1.62,17.57,,,,,Nakashima,Bounce,
83,83,14,9436,-1.48,23.75,7.43,-0.07,0.6,23.75,Nakashima,Hit,Back
84,84,14,9459,6.62,3.24,,,,,Nakashima,Bounce,
85,85,14,9468,8.31,-1.07,7.29,-1.07,0.77,22.52,Nakashima,Hit,Back
86,86,14,9497,7.74,22.35,,,,,Nakashima,Bounce,
87,87,14,9504,7.74,24.57,5.11,-1.42,6.06,24.57,Nakashima,Hit,Fore
88,88,17,10821,4.14,16.59,,,,,Nakashima,Bounce,
89,89,17,10831,1.94,23.79,7.35,-0.86,1.67,23.79,Nakashima,Hit,Fore
90,90,17,10861,4.39,4.91,,,,,Nakashima,Bounce,
91,91,17,10873,4.9,1.02,5.79,1.02,4.07,24.5,Nakashima,Hit,Fore
92,92,18,11402,6.29,17.34,,,,,Nakashima,Bounce,
93,93,18,11413,6.91,25.59,5.04,-0.81,7.79,25.59,Nakashima,Hit,Back
94,94,18,11443,4.23,1.42,,,,,Nakashima,Bounce,
95,95,18,11451,4.06,-1.78,4.84,-1.78,5.96,25.18,Nakashima,Hit,Fore
96,96,18,11502,5.53,12.95,,,,,Nakashima,Bounce,
97,97,18,11530,6.19,15.19,5.49,-0.82,5.6,15.19,Nakashima,Hit,Fore
98,98,18,11557,1.54,8.06,,,,,Nakashima,Bounce,
99,99,18,11580,-0.18,6.42,0.94,6.42,4.25,15.71,Nakashima,Hit,Fore
100,100,20,12453,2.91,15.53,,,,,Nakashima,Bounce,
101,101,20,12466,-0.01,22.47,7.64,-1.13,1.49,22.47,Nakashima,Hit,Back
102,102,20,12494,9.27,2.57,,,,,Nakashima,Bounce,
103,103,20,12504,11.25,-2.94,10.05,-2.94,3.05,23.01,Nakashima,Hit,Back
104,104,20,12543,2.54,20.13,,,,,Nakashima,Bounce,
105,105,20,12553,0.56,24.06,7.57,-2.51,2.06,24.06,Nakashima,Hit,Back
106,106,20,12576,2.35,2.13,,,,,Nakashima,Bounce,
107,107,20,12588,2.32,-3.85,3.57,-3.85,3.79,22.36,Nakashima,Hit,Fore
108,108,20,12621,,,,,,,Nakashima,NoBounce,
109,109,20,12629,2.57,-33.3,-19.03,-33.3,-19.03,-33.3,Nakashima,Hit,Fore
110,110,20,12652,8.36,8.7,,,,,Nakashima,Bounce,
111,111,21,13583,2.27,6.79,,,,,Nishioka,Bounce,
112,112,21,13596,-1.24,-3.16,0.46,-3.16,6.59,23.62,Nishioka,Hit,Fore
113,113,21,13622,6.9,15.83,,,,,Nishioka,Bounce,
114,114,21,13641,10.22,22.47,2.44,-2.78,8.63,22.47,Nishioka,Hit,Fore
115,115,21,13674,8.23,0.35,,,,,Nishioka,Bounce,
116,116,21,13690,8.21,-5.44,6.82,-5.44,6.48,18.04,Nishioka,Hit,Back
117,117,21,13716,9.22,20.03,,,,,Nishioka,Bounce,
118,118,22,14212,9.21,6.32,,,,,Nishioka,Bounce,
119,119,22,14224,12.85,-2.97,10.38,-2.97,4.17,23.15,Nishioka,Hit,Back
120,120,22,14280,9.49,20.47,,,,,Nishioka,Bounce,
121,121,22,14311,10.11,27.13,-7.2,-24.74,7.78,27.13,Nishioka,Hit,Fore
122,122,22,14332,3.94,5.89,,,,,Nishioka,Bounce,
123,123,22,14348,1.85,-3.11,2.84,-3.11,6.9,26.78,Nishioka,Hit,Fore
124,124,22,14371,6.49,17.3,,,,,Nishioka,Bounce,
125,125,22,14387,8.36,25.16,4.29,-4.18,7.22,25.16,Nishioka,Hit,Fore
126,126,22,14409,5.07,5.59,,,,,Nishioka,Bounce,
127,127,22,14423,3.82,-2.43,4.74,-2.43,6.25,24.87,Nishioka,Hit,Fore
128,128,22,14454,8.1,18.57,,,,,Nishioka,Bounce,
129,129,22,14473,10.4,25.01,4.73,-2.94,8.77,25.01,Nishioka,Hit,Fore
130,130,22,14499,1.53,4.41,,,,,Nishioka,Bounce,
131,131,22,14523,-1.41,-3.62,-0.18,-3.62,7.68,24.53,Nishioka,Hit,Fore
132,132,23,15187,2.22,6.65,,,,,Nishioka,Bounce,
133,133,23,15203,-1.57,-1.65,0.33,-1.65,6.69,23.6,Nishioka,Hit,Fore
134,134,24,15674,8.22,5.68,,,,,Nishioka,Bounce,
135,135,24,15688,11.99,-4.77,10.44,-4.77,4.01,23.2,Nishioka,Hit,Back
136,136,25,16153,5.4,6.23,,,,,Nishioka,Bounce,
137,137,25,16166,4.48,-3.22,3.13,-3.22,6.53,23.16,Nishioka,Hit,Back
138,138,25,16222,3.18,17.74,,,,,Nishioka,Bounce,
139,139,25,16244,2.11,20.03,5.52,-2.77,1.6,20.03,Nishioka,Hit,Fore
140,140,26,16970,8.78,6.66,,,,,Nishioka,Bounce,
141,141,26,16982,12.28,-3.92,10.31,-3.92,4.18,23.37,Nishioka,Hit,Back
142,142,26,17014,4.16,18.16,,,,,Nishioka,Bounce,
143,143,26,17024,2.82,22.79,8.56,-3.93,3.93,22.79,Nishioka,Hit,Back
144,144,26,17047,4.42,2.81,,,,,Nishioka,Bounce,
145,145,26,17060,4.61,-3.08,5.45,-3.08,4.87,19.48,Nishioka,Hit,Fore
146,146,26,17079,,,,,,,Nishioka,NoBounce,
147,147,26,17083,8.32,16.79,5.33,-2.66,6.79,16.79,Nishioka,Hit,Fore
148,148,27,17820,2.68,6.55,,,,,Nishioka,Bounce,
149,149,27,17836,-1.25,-3.91,0.34,-3.91,6.62,23.41,Nishioka,Hit,Fore
150,150,27,17867,7.76,17.72,,,,,Nishioka,Bounce,
151,151,27,17881,10.25,-37.45,-14.72,-37.45,-14.72,-37.45,Nishioka,Hit,Fore
152,152,28,18525,5.95,6.46,,,,,Nishioka,Bounce,
153,153,28,18538,6.79,-3.08,7.66,-3.08,4.56,23.21,Nishioka,Hit,Fore
154,154,28,18591,5.83,17.84,,,,,Nishioka,Bounce,
155,155,28,18621,5.62,24.63,5.64,-3.96,4.58,24.63,Nishioka,Hit,Fore
156,156,28,18642,2.01,3.25,,,,,Nishioka,Bounce,
157,157,28,18659,0.61,-4.6,2.04,-4.6,5.42,23.66,Nishioka,Hit,Fore
158,158,28,18706,4.43,21.83,,,,,Nishioka,Bounce,
159,159,28,18718,4.88,24.84,4.94,-3.94,3.82,24.84,Nishioka,Hit,Fore
160,160,29,22224,3.24,6.93,,,,,Nishioka,Bounce,
161,161,29,22236,1.85,-1.22,3,-1.22,5.96,23.01,Nishioka,Hit,Fore
162,162,29,22260,4.16,16.2,,,,,Nishioka,Bounce,
163,163,29,22277,4.55,23.61,5.44,-2.93,5.65,23.61,Nishioka,Hit,Back
164,164,29,22300,5.16,4.51,,,,,Nishioka,Bounce,
165,165,29,22318,5.89,-2.07,6.87,-2.07,5.23,25.42,Nishioka,Hit,Fore
166,166,29,22339,7.85,18.5,,,,,Nishioka,Bounce,
167,167,29,22355,9.2,26.17,5.84,-2.34,7.96,26.17,Nishioka,Hit,Fore
168,168,29,22379,2.62,6.64,,,,,Nishioka,Bounce,
169,169,29,22399,0.08,-1.42,1.32,-1.42,6.76,25.31,Nishioka,Hit,Fore
